feature,count,mean,std,min,5%,25%,50%,75%,95%,max,dataset,year,pair
signal_density_168,99.0,0.014670514670514667,0.004833727917023251,0.005952380952380952,0.005952380952380952,0.011904761904761904,0.017857142857142856,0.017857142857142856,0.023809523809523808,0.023809523809523808,A_portfolio,2024,ETH/USDT
ema20_distance,108.0,0.007903749585529038,0.012247578656774982,-0.00935133544919664,-0.003460271959585076,0.0009727181164279064,0.004406240849272991,0.01031687468920367,0.03356698191518247,0.052693347252684486,B_opportunities,2019,BTC/USDT
ema50_distance,108.0,0.008709453320554745,0.015053881052211827,-0.017106154066478085,-0.00936687147402868,0.0006844301251078266,0.004671591145568588,0.012367724014128667,0.04500385526061306,0.061200687084072,B_opportunities,2019,BTC/USDT
ema_gap,108.0,0.0007204626047719061,0.004697315116225207,-0.012404615711260367,-0.007754397291153241,-0.0016790044723439593,0.0009858514024090467,0.0029985039981348773,0.007297449393230518,0.015523442280541477,B_opportunities,2019,BTC/USDT
ema20_slope_6,108.0,0.0039698104568159686,0.005715387680838933,-0.005577413622036009,-0.0020793820338796897,0.0006052016156093409,0.002574202281206195,0.005723895808872725,0.013153257928809945,0.02947751779416974,B_opportunities,2019,BTC/USDT
ema50_slope_6,108.0,0.0014551291149868108,0.002590686054630174,-0.004304207979130559,-0.0019930630700094043,-0.00010849547795308001,0.0011707797043312151,0.002517410769053152,0.005687884264070107,0.011155851835406239,B_opportunities,2019,BTC/USDT
trend_efficiency_20,108.0,0.2662744230558292,0.16478075354958446,0.0011411972196283403,0.023216821436844868,0.14124669263709427,0.24594105015306583,0.38644415902873896,0.5642590706452988,0.6465517241379316,B_opportunities,2019,BTC/USDT
range_ratio,108.0,0.008767275843327153,0.007261774338608011,0.0019825000000000727,0.00266987565909319,0.004380516725893065,0.0061224389207507664,0.011532271788509216,0.020095134346597626,0.05280863265545496,B_opportunities,2019,BTC/USDT
body_to_range,108.0,0.3785811788942421,0.2311891526510481,0.0006994229760441318,0.025187274001785685,0.20080174592234368,0.35967226890755877,0.5340689013811204,0.7447816591455582,0.9154576815840467,B_opportunities,2019,BTC/USDT
close_location,108.0,0.4858679495913563,0.27317244722909184,0.027793218454697392,0.10379238490428065,0.24215947381216982,0.48038277219770337,0.7378995726226292,0.9222918139961068,1.0,B_opportunities,2019,BTC/USDT
natr14,108.0,0.008603560095068264,0.0042632871351724845,0.0034282153565696797,0.003994574696262444,0.0054083453076854806,0.0076749434368042335,0.009985554613563215,0.016808211150502343,0.02465623792280358,B_opportunities,2019,BTC/USDT
return_std_24,108.0,0.005344418608145523,0.0035150634812444737,0.0014175941620378743,0.002026689229117868,0.002923187990130958,0.004193849397787672,0.006260828250158382,0.012401803627195408,0.01973761812640779,B_opportunities,2019,BTC/USDT
return_std_168,108.0,0.006367529047490593,0.0030194718869225234,0.0023505673343282045,0.00285263457326699,0.004074821711921228,0.005823128499233648,0.007771849041412569,0.012050909449030218,0.018526992176478536,B_opportunities,2019,BTC/USDT
volatility_percentile_720,108.0,0.4055555555555555,0.29273022228515094,0.001388888888888889,0.0325,0.11979166666666667,0.36944444444444446,0.659375,0.8931249999999998,0.9680555555555556,B_opportunities,2019,BTC/USDT
rsi14,108.0,57.773231273342034,9.316960431122212,42.06644052428154,44.26435008444334,52.34397860903688,56.12626351271733,61.61014011670767,74.36176700671342,84.46941718880187,B_opportunities,2019,BTC/USDT
macd_ratio,108.0,0.0027840653740937053,0.0036404335732875648,-0.0027270810292319755,-0.0011197838351603223,0.0006086237141738291,0.0018838792269845967,0.003867158371958934,0.008361866784471433,0.018586582358320745,B_opportunities,2019,BTC/USDT
macd_signal_ratio,108.0,0.0015105742163613613,0.0021493999336666863,-0.0031765144248789615,-0.0007627334050105336,0.0001342252103807136,0.0009722211454797989,0.002251905438860152,0.005791900397854983,0.009969642945938821,B_opportunities,2019,BTC/USDT
relative_volume_24,108.0,1.1875404519263097,1.0345276353588333,0.34458686404747313,0.4358301824162785,0.6364618461392368,0.8067046868474774,1.3897368153007597,3.1528286846492732,6.248417046720573,B_opportunities,2019,BTC/USDT
volume_zscore_24,108.0,0.15556334934198335,1.3386911341181824,-1.8850893781000213,-1.1347623493689747,-0.7032197243052245,-0.33377887658691324,0.5457014792981072,2.895820421674539,4.419226602112275,B_opportunities,2019,BTC/USDT
volume_trend_24_168,108.0,-0.09829142192814173,0.2689318321166152,-0.6150580593784452,-0.49796667304969466,-0.2753534343510387,-0.10652098525629294,0.016979239771499788,0.3908711867015003,1.0971507514403296,B_opportunities,2019,BTC/USDT
regime_duration,108.0,25.296296296296298,30.799398968301055,1.0,1.0,3.0,17.0,34.0,72.54999999999994,167.0,B_opportunities,2019,BTC/USDT
regime_transition,108.0,0.1388888888888889,0.3474428167388508,0.0,0.0,0.0,0.0,0.0,1.0,1.0,B_opportunities,2019,BTC/USDT
hour_of_day,108.0,10.87962962962963,7.2842392820128135,0.0,0.35000000000000053,5.0,10.0,17.0,23.0,23.0,B_opportunities,2019,BTC/USDT
day_of_week,108.0,3.138888888888889,1.9501178173530007,0.0,0.0,2.0,3.0,5.0,6.0,6.0,B_opportunities,2019,BTC/USDT
distance_high_24,108.0,-0.01158067699586263,0.009224770234296041,-0.06847741935483864,-0.028153954141091845,-0.014368365066680017,-0.009945107598988034,-0.005217511053133117,-0.002575811344331286,-0.0010143457469932171,B_opportunities,2019,BTC/USDT
distance_low_24,108.0,0.033793003783107345,0.02777306476759683,0.004562370526084214,0.007285184191711425,0.014680027203941237,0.02497377978644222,0.042136285971836496,0.0844255403009124,0.16063328878379757,B_opportunities,2019,BTC/USDT
distance_high_168,108.0,-0.05775259935664607,0.044371199631718136,-0.19187687902648531,-0.1592536305711613,-0.07774932146752828,-0.04529005336735398,-0.02254719904645705,-0.010859947174708286,-0.002849455630573039,B_opportunities,2019,BTC/USDT
distance_low_168,108.0,0.07708771589870557,0.060958364061086075,0.012033118675252918,0.020726269495830684,0.0397833606555727,0.057019679021110825,0.1003177273115693,0.2044124949626712,0.3536271512230944,B_opportunities,2019,BTC/USDT
candles_since_prior_signal,108.0,80.92592592592592,42.80464288375359,7.0,21.05,50.0,73.0,102.0,164.89999999999995,216.0,B_opportunities,2019,BTC/USDT
source_synthetic,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B_opportunities,2019,BTC/USDT
return_1h,108.0,0.0010726115915028766,0.00680341229997027,-0.019551499671290218,-0.005426129419046682,-0.001320725257529659,0.00019579607367803398,0.002238562096380403,0.010301589085295914,0.05079994440642066,B_opportunities,2019,BTC/USDT
return_3h,108.0,0.0044861769799488605,0.012148416444257876,-0.01500295550250419,-0.006333715884376106,-0.0018573953541323462,0.002325759300792263,0.0054881374992812315,0.03013788132718438,0.06522443505059883,B_opportunities,2019,BTC/USDT
return_6h,108.0,0.0068195358932486025,0.01591502172366672,-0.03371742997452887,-0.008659698598853837,-0.002544928966551674,0.0028235961877829396,0.011368364621093585,0.04096459805017841,0.06279523760597239,B_opportunities,2019,BTC/USDT
return_12h,108.0,0.011398784283101442,0.01918469239650037,-0.02313346340332645,-0.009275360195623432,0.0009277830219552308,0.0059202392812743865,0.016978407807809903,0.050246753992549104,0.10016114305754598,B_opportunities,2019,BTC/USDT
return_24h,108.0,0.0172291513367641,0.02048440527835944,-0.02029808450915882,-0.0017497004836543146,0.003816218170360264,0.010528137209517952,0.02635295264263554,0.05784407413937566,0.0987360767653711,B_opportunities,2019,BTC/USDT
return_72h,108.0,0.002229596667008344,0.043823002291497826,-0.11168109162079687,-0.0688586215905333,-0.017454335258968112,0.0022520192362764924,0.01758864879032135,0.0775112080136609,0.1732265103919186,B_opportunities,2019,BTC/USDT
return_168h,108.0,0.010848774653685304,0.08764806985321257,-0.17762796064933795,-0.1348614526055175,-0.03499347327726571,0.0034768682751598057,0.04298709364668024,0.17765768474511004,0.3490618059666004,B_opportunities,2019,BTC/USDT
volatility_ratio_24_168,108.0,0.8389499065502646,0.3473355509279929,0.35992687411462115,0.45219095950022214,0.5778839239540731,0.7531624161219506,1.0227613471619987,1.5701653205121902,1.9881499759443084,B_opportunities,2019,BTC/USDT
natr_ratio_168,108.0,0.9380716198452591,0.28524766127948237,0.5684156491088814,0.5925637037763383,0.7621134293131668,0.8774558298989725,1.0799298368422492,1.3742826140441604,2.632901228995206,B_opportunities,2019,BTC/USDT
up_fraction_24,108.0,0.5408950617283951,0.07492239873417952,0.3333333333333333,0.4166666666666667,0.5,0.5416666666666666,0.5833333333333334,0.625,0.75,B_opportunities,2019,BTC/USDT
volume_price_interaction,108.0,0.004917125831786995,0.03269935058816015,-0.031118133620307655,-0.00655162305174622,-0.0010958132543853988,0.000194016929089636,0.0023363258290174786,0.016576592003882475,0.31741923860153626,B_opportunities,2019,BTC/USDT
range_expansion_24,108.0,1.088153312547306,0.8667166606502945,0.32688487550183765,0.4834871474488313,0.645454149489961,0.820289302331805,1.1917301216800944,2.4447170096428925,6.729967369928698,B_opportunities,2019,BTC/USDT
signal_density_168,108.0,0.015432098765432096,0.004231490549246975,0.005952380952380952,0.011904761904761904,0.011904761904761904,0.017857142857142856,0.017857142857142856,0.023809523809523808,0.023809523809523808,B_opportunities,2019,BTC/USDT
ema20_distance,115.0,0.010041869456957033,0.013036218150425724,-0.011703498342060747,-0.004400530035526695,0.0011123543466771135,0.006597288875989316,0.01786344552359631,0.03812591632526976,0.05558621635440275,B_opportunities,2019,ETH/USDT
ema50_distance,115.0,0.011075270263966621,0.016602926253618883,-0.024815299559504678,-0.009217366884972511,-0.0007061476669187328,0.008196559386038471,0.02077197560781119,0.044873514342456455,0.05614771307903088,B_opportunities,2019,ETH/USDT
ema_gap,115.0,0.0009115547294819236,0.006076873392224201,-0.01594742045586766,-0.009227546598161392,-0.00200017920550403,0.0006251745851109554,0.00430961419669168,0.009165443329718144,0.018373103759398726,B_opportunities,2019,ETH/USDT
ema20_slope_6,115.0,0.005367177826551005,0.006778643698231631,-0.009665763442733843,-0.003018575253512945,0.0010528465025234635,0.0033885131687219072,0.008753806321552426,0.018761068383690738,0.033855028919244745,B_opportunities,2019,ETH/USDT
ema50_slope_6,115.0,0.001953592984747693,0.003453495933469149,-0.006812156508195666,-0.00288762510179662,-0.00020012674831271227,0.0015258817815837489,0.003655836357914999,0.007728272370112066,0.013294394592021863,B_opportunities,2019,ETH/USDT
trend_efficiency_20,115.0,0.2665055476840104,0.1622019474978403,0.0059078377313905315,0.03344239074838014,0.13017776825872923,0.24745034889962392,0.385443042558536,0.54991240304387,0.6780905752754007,B_opportunities,2019,ETH/USDT
range_ratio,115.0,0.010220831777672058,0.007202210164682874,0.002678697307204454,0.003442852896317775,0.00508038097429098,0.008315288003464772,0.012721124779950467,0.023898963511434897,0.043798219584569704,B_opportunities,2019,ETH/USDT
body_to_range,115.0,0.40930847352555205,0.22967898129555253,0.0,0.061362179487186995,0.2386440677966145,0.3931777378815133,0.5735976789168049,0.7909903082081682,0.8859315589353567,B_opportunities,2019,ETH/USDT
close_location,115.0,0.4681896064319228,0.2647065068833273,0.040000000000001514,0.10240384615384006,0.23090909090909315,0.4512820512820483,0.7342301261589927,0.8714956011730269,0.984790874524707,B_opportunities,2019,ETH/USDT
natr14,115.0,0.010485358905765772,0.004043558804240092,0.00471687496198765,0.005552299148090231,0.00746239856270026,0.00963556443921285,0.012592166003525331,0.01859421109309017,0.02489051178291534,B_opportunities,2019,ETH/USDT
return_std_24,115.0,0.006471743268510194,0.003200007499538839,0.0025949346484917765,0.002796234887614415,0.004264448706167156,0.00561551444514168,0.00785403009418761,0.012216414504932322,0.021281919155007812,B_opportunities,2019,ETH/USDT
return_std_168,115.0,0.008062889523655421,0.003185331766051607,0.003343821989804166,0.003932914574819577,0.005619258023431443,0.0075351157841305255,0.009631403738387487,0.013806743743145387,0.017616273211179347,B_opportunities,2019,ETH/USDT
volatility_percentile_720,115.0,0.4059541062801933,0.3087718794623669,0.001388888888888889,0.008888888888888889,0.10486111111111111,0.3458333333333333,0.6756944444444444,0.9156944444444444,0.9694444444444444,B_opportunities,2019,ETH/USDT
rsi14,115.0,58.15394032874288,9.509008964035235,41.79950379216214,44.21234826076223,51.22531273552633,57.075637766108805,65.09264391053716,74.586768882267,79.04337208922409,B_opportunities,2019,ETH/USDT
macd_ratio,115.0,0.0036447521653082764,0.004245045267078713,-0.00675926135764192,-0.001774689737187326,0.0008448537151965248,0.0028027048623568743,0.006101938348104047,0.011440325340356102,0.020167487727331266,B_opportunities,2019,ETH/USDT
macd_signal_ratio,115.0,0.0019121584905099213,0.0026420613070063945,-0.005048941989651765,-0.0017325862825847771,0.0003704749881525935,0.0015158388480098752,0.003234288987101005,0.006501127656403649,0.01171425296336406,B_opportunities,2019,ETH/USDT
relative_volume_24,115.0,1.0994837699425524,0.8700776669746911,0.21320527322660277,0.34297865444502873,0.5598224530342735,0.8125986694842784,1.2824415067581056,2.3262023887619114,5.871771482322297,B_opportunities,2019,ETH/USDT
volume_zscore_24,115.0,0.0662967612186002,1.0793594585528052,-1.537152309678175,-1.109707484676487,-0.6184538056230617,-0.34084303320172304,0.5136653725854617,2.0531308498018777,4.455390387590749,B_opportunities,2019,ETH/USDT
volume_trend_24_168,115.0,-0.1424199844388188,0.27095641528705267,-0.630225040689648,-0.4763127028300927,-0.30290602261584665,-0.19163802711990596,-0.0350598528194796,0.2675802592658683,1.4299945040933841,B_opportunities,2019,ETH/USDT
regime_duration,115.0,22.817391304347826,23.09081332048913,1.0,1.0,3.0,17.0,30.0,71.3,93.0,B_opportunities,2019,ETH/USDT
regime_transition,115.0,0.12173913043478261,0.32841528286116795,0.0,0.0,0.0,0.0,0.0,1.0,1.0,B_opportunities,2019,ETH/USDT
hour_of_day,115.0,10.539130434782608,7.340451437575137,0.0,0.0,4.0,9.0,17.0,22.299999999999997,23.0,B_opportunities,2019,ETH/USDT
day_of_week,115.0,3.1043478260869564,2.027763062058902,0.0,0.0,1.0,3.0,5.0,6.0,6.0,B_opportunities,2019,ETH/USDT
distance_high_24,115.0,-0.014922747901195488,0.00968626061314472,-0.04886186698302075,-0.030808059331361527,-0.019128091894982546,-0.013130193905817156,-0.007922769006001973,-0.0029259584336152724,-0.00043172566917470956,B_opportunities,2019,ETH/USDT
distance_low_24,115.0,0.04149088308620143,0.027251550778615876,0.003210975698752172,0.011414906196622178,0.023219862720476603,0.0322210065645514,0.05786159875164021,0.09279275077986462,0.1331317764804003,B_opportunities,2019,ETH/USDT
distance_high_168,115.0,-0.0747988829665773,0.051929135733575195,-0.2208322878956236,-0.17991704221466015,-0.10050359521709773,-0.05965707178393753,-0.03552721263305719,-0.01483832520074369,-0.004028021015761829,B_opportunities,2019,ETH/USDT
distance_low_168,115.0,0.09620885190307492,0.06694377293129868,0.017595518529158305,0.028565605088362922,0.04872938973182239,0.0727576335877862,0.12291420311137335,0.2242192579808218,0.39640883977900554,B_opportunities,2019,ETH/USDT
candles_since_prior_signal,115.0,76.02608695652174,39.873365526544475,4.0,11.100000000000001,47.5,71.0,104.0,138.6,192.0,B_opportunities,2019,ETH/USDT
source_synthetic,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B_opportunities,2019,ETH/USDT
return_1h,115.0,0.0006619568535932833,0.006782286917958243,-0.016309639727361214,-0.007583616251107472,-0.002696084708152191,-0.0002945291215668,0.003028746201389043,0.013525868086685228,0.03611543822251373,B_opportunities,2019,ETH/USDT
return_3h,115.0,0.005652077300109835,0.013007207510072422,-0.01404180628689955,-0.00898754963551096,-0.0027261980916190587,0.0026706062844479295,0.0091463081262676,0.02969530754985967,0.07498298741068399,B_opportunities,2019,ETH/USDT
